StartTime, End Time, Duration, Activity, Locations
00:00:00, 07:00:00, 25201, Sleeping, B
07:00:01, 07:30:00, 1800, Hygiene, T
07:30:01, 09:00:00, 5400, Cook-eat, K
09:00:01, 12:00:00, 10800, Entertainment, L
12:00:01, 13:30:00, 5400, Cook-eat, K
13:30:01, 16:30:00, 10800, Sleeping, B
16:30:01, 17:00:00, 1800, Hygiene, T
17:00:01, 19:00:00, 7200, Outside, N
19:00:01, 20:30:00, 5400, cook-eat, K
20:30:01, 23:00:00, 9000, Entertainment, L
23:00:01, 23:59:59, 2599, Sleeping, B
__:__:__, __:__:__, 900, Toilet, T
